code_quartier_prioritaire,code_academie,nbre_eleves_ulis,effectifs_filles,effectifs_garcons
QP076008,70,0,41,39
QP076008,70,0,41,39
QP076008,70,0,41,39
QP076024,70,0,61,63
QP076024,70,12,61,63
QP076024,70,12,61,63
QP076024,70,14,61,63
QP033002,04,0,87,70
QP033002,04,0,87,70
QP033002,04,0,87,70
QP033002,04,0,87,70
QP040005,04,13,69,70
QP040005,04,13,69,70
QP040005,04,10,69,70
QP040005,04,13,69,70
QP047006,04,12,91,75
QP047006,04,12,91,75
QP047006,04,11,91,75
QP047006,04,12,91,75
QP011004,11,27,84,93
QP011004,11,29,84,93
QP011004,11,30,84,93
QP011004,11,29,84,93
QP011008,11,0,60,50
QP011008,11,0,60,50
QP011008,11,0,60,50
QP011008,11,0,60,50
QP030004,11,12,51,81
QP030004,11,12,51,81
QP030004,11,12,51,81
QP030004,11,12,51,81
QP034016,11,9,63,97
QP034016,11,12,63,97
QP034016,11,13,63,97
QP034016,11,5,63,97
QP066001,11,12,103,133
QP066001,11,15,103,133
QP066001,11,15,103,133
QP066001,11,13,103,133
QP044010,17,0,51,59
QP044010,17,0,51,59
QP044010,17,0,51,59
QP044010,17,0,51,59
QP044003,17,12,81,101
QP044003,17,10,81,101
QP044003,17,12,81,101
QP044003,17,13,81,101
QP072006,17,11,58,55
QP072006,17,7,58,55
QP072006,17,10,58,55
QP072006,17,10,58,55
QP004001,02,0,46,39
QP004001,02,9,46,39
QP004001,02,0,46,39
QP004001,02,0,46,39
QP013027,02,0,72,85
QP013027,02,0,72,85
QP013027,02,0,72,85
QP013027,02,0,72,85
QP005001,02,14,70,77
QP005001,02,12,70,77
QP005001,02,12,70,77
QP005001,02,15,70,77
QP084021,02,13,72,91
QP084021,02,13,72,91
QP084021,02,15,72,91
QP084021,02,13,72,91
QP084007,02,0,59,67
QP084007,02,0,59,67
QP084007,02,0,59,67
QP084007,02,0,59,67
QP006001,23,0,60,103
QP006001,23,0,60,103
QP006001,23,0,60,103
QP006001,23,0,60,103
QP093061,24,9,48,58
QP093061,24,13,48,58
QP093061,24,13,48,58
QP093061,24,13,48,58
QP077024,24,13,69,80
QP077024,24,13,69,80
QP077024,24,13,69,80
QP077024,24,13,69,80
QP093056,24,14,87,70
QP093056,24,14,87,70
QP093056,24,14,87,70
QP093056,24,16,87,70
QP093059,24,14,60,69
QP093059,24,14,60,69
QP093059,24,12,60,69
QP093059,24,14,60,69
QP093038,24,13,52,64
QP093038,24,13,52,64
QP093038,24,14,52,64
QP093038,24,14,52,64
QP091035,25,12,74,103
QP091035,25,10,74,103
QP091035,25,11,74,103
QP091035,25,8,74,103
QP091015,25,14,93,87
QP091015,25,14,93,87
QP091015,25,13,93,87
QP091015,25,14,93,87
QP092021,25,12,74,73
QP092021,25,7,74,73
QP092021,25,0,74,73
QP092021,25,0,74,73
QP092021,25,11,79,64
QP092021,25,11,79,64
QP092021,25,10,79,64
QP092021,25,13,79,64
QP092001,25,7,66,101
QP092001,25,12,66,101
QP092001,25,11,66,101
QP092001,25,8,66,101
QP095010,25,13,77,95
QP095010,25,12,77,95
QP095010,25,10,77,95
QP095010,25,10,77,95
QP095024,25,14,63,64
QP095024,25,20,63,64
QP095024,25,15,63,64
QP095024,25,16,63,64
QP095014,25,13,72,66
QP095014,25,11,72,66
QP095014,25,13,72,66
QP095014,25,13,72,66
QP095041,25,0,57,61
QP095041,25,0,57,61
QP095041,25,0,57,61
QP095041,25,0,57,61
QP095018,25,0,71,60
QP095018,25,0,71,60
QP095018,25,0,71,60
QP095018,25,0,71,60
QP095037,25,11,62,58
QP095037,25,12,62,58
QP095037,25,13,62,58
QP095037,25,12,62,58
QP095019,25,0,57,49
QP095019,25,0,57,49
QP095019,25,0,57,49
QP095019,25,0,57,49
QP076027,70,0,65,64
QP076027,70,0,65,64
QP076027,70,0,65,64
QP076027,70,0,65,64
QP076003,70,13,42,57
QP076003,70,10,42,57
QP076003,70,15,42,57
QP076003,70,12,42,57
QP076003,70,0,57,59
QP076003,70,0,57,59
QP076003,70,12,57,59
QP076003,70,14,57,59
QP076024,70,0,65,57
QP076024,70,12,65,57
QP076024,70,12,65,57
QP076024,70,14,65,57
QP076026,70,3,49,49
QP076026,70,0,49,49
QP076026,70,13,49,49
QP076026,70,12,49,49
QP087003,22,12,57,60
QP087003,22,10,57,60
QP087003,22,12,57,60
QP087003,22,10,57,60
QP087007,22,0,82,89
QP087007,22,0,82,89
QP087007,22,0,82,89
QP087007,22,0,82,89
QP087008,22,13,60,48
QP087008,22,12,60,48
QP087008,22,12,60,48
QP087008,22,11,60,48
QP017004,13,11,42,54
QP017004,13,0,42,54
QP017004,13,0,42,54
QP017004,13,0,42,54
QP017003,13,13,116,105
QP017003,13,14,116,105
QP017003,13,12,116,105
QP017003,13,12,116,105
QP011008,11,0,65,52
QP011008,11,0,65,52
QP011008,11,0,65,52
QP011008,11,0,65,52
QP030010,11,11,86,105
QP030010,11,12,86,105
QP030010,11,12,86,105
QP030010,11,12,86,105
QP030011,11,22,45,78
QP030011,11,22,45,78
QP030011,11,13,45,78
QP030011,11,13,45,78
QP066001,11,12,121,153
QP066001,11,15,121,153
QP066001,11,15,121,153
QP066001,11,13,121,153
QP031008,16,18,51,57
QP031008,16,15,51,57
QP031008,16,11,51,57
QP031008,16,16,51,57
QP044017,17,0,80,74
QP044017,17,0,80,74
QP044017,17,0,80,74
QP044017,17,0,80,74
QP013006,02,11,124,146
QP013006,02,8,124,146
QP013006,02,13,124,146
QP013006,02,14,124,146
QP013033,02,13,49,60
QP013033,02,13,49,60
QP013033,02,15,49,60
QP013033,02,14,49,60
QP013021,02,0,54,55
QP013021,02,0,54,55
QP013021,02,0,54,55
QP013021,02,0,54,55
QP013062,02,13,81,61
QP013062,02,14,81,61
QP013062,02,14,81,61
QP013062,02,13,81,61
QP006012,23,0,73,75
QP006012,23,13,73,75
QP006012,23,12,73,75
QP006012,23,0,73,75
QP006001,23,0,96,80
QP006001,23,0,96,80
QP006001,23,0,96,80
QP006001,23,0,96,80
QP083012,23,22,49,74
QP083012,23,23,49,74
QP083012,23,20,49,74
QP083012,23,21,49,74
QP001003,10,12,74,101
QP001003,10,8,74,101
QP001003,10,0,74,101
QP001003,10,0,74,101
QP042002,10,13,121,99
QP042002,10,13,121,99
QP042002,10,12,121,99
QP042002,10,13,121,99
QP042005,10,13,82,89
QP042005,10,13,82,89
QP042005,10,13,82,89
QP042005,10,13,82,89
QP069042,10,14,62,50
QP069042,10,12,62,50
QP069042,10,12,62,50
QP069042,10,14,62,50
QP035007,14,0,53,42
QP035007,14,0,53,42
QP035007,14,0,53,42
QP035007,14,0,53,42
QP056002,14,12,57,71
QP056002,14,0,57,71
QP056002,14,7,57,71
QP056002,14,10,57,71
QP056003,14,0,46,46
QP056003,14,0,46,46
QP056003,14,0,46,46
QP056003,14,0,46,46
QP056009,14,0,65,60
QP056009,14,0,65,60
QP056009,14,0,65,60
QP056009,14,0,65,60
QP028004,18,13,56,61
QP028004,18,12,56,61
QP028004,18,11,56,61
QP028004,18,12,56,61
QP045006,18,0,59,47
QP045006,18,0,59,47
QP045006,18,0,59,47
QP045006,18,0,59,47
QP054001,12,0,65,62
QP054001,12,0,65,62
QP054001,12,0,65,62
QP054001,12,0,65,62
QP054013,12,14,34,44
QP054013,12,15,34,44
QP054013,12,16,34,44
QP054013,12,13,34,44
QP057017,12,28,58,64
QP057017,12,23,58,64
QP057017,12,25,58,64
QP057017,12,22,58,64
QP008004,19,10,38,35
QP008004,19,0,38,35
QP008004,19,10,38,35
QP008004,19,0,38,35
QP067007,15,0,85,87
QP067007,15,13,85,87
QP067007,15,15,85,87
QP067007,15,1,85,87
QP060015,20,13,69,88
QP060015,20,14,69,88
QP060015,20,13,69,88
QP060015,20,13,69,88
QP059081,09,12,58,73
QP059081,09,11,58,73
QP059081,09,12,58,73
QP059081,09,12,58,73
QP062050,09,12,56,47
QP062050,09,12,56,47
QP062050,09,11,56,47
QP062050,09,13,56,47
QP093061,24,9,55,49
QP093061,24,13,55,49
QP093061,24,13,55,49
QP093061,24,13,55,49
QP077004,24,13,73,70
QP077004,24,13,73,70
QP077004,24,13,73,70
QP077004,24,13,73,70
QP093017,24,13,78,68
QP093017,24,14,78,68
QP093017,24,14,78,68
QP093017,24,14,78,68
QP094019,24,0,75,83
QP094019,24,0,75,83
QP094019,24,0,75,83
QP094019,24,0,75,83
QP075018,01,0,50,57
QP075018,01,0,50,57
QP075018,01,0,50,57
QP075018,01,0,50,57
QP091007,25,0,51,83
